run_name,beta_label,beta,lr,clip_range,best_eval_reward,elapsed_s
ppo_nocost_lr0.0001_cr0.1,nocost,0.0,0.0001,0.1,-0.016882,699.3
ppo_nocost_lr0.0001_cr0.2,nocost,0.0,0.0001,0.2,-0.015721,694.1
ppo_nocost_lr0.0001_cr0.3,nocost,0.0,0.0001,0.3,-0.014766,682.5
ppo_nocost_lr0.0003_cr0.1,nocost,0.0,0.0003,0.1,-0.014741,673.7
ppo_nocost_lr0.0003_cr0.2,nocost,0.0,0.0003,0.2,-0.010351,635.7
ppo_nocost_lr0.0003_cr0.3,nocost,0.0,0.0003,0.3,-0.013328,637.9
ppo_nocost_lr0.001_cr0.1,nocost,0.0,0.001,0.1,-0.012658,676.7
ppo_nocost_lr0.001_cr0.2,nocost,0.0,0.001,0.2,-0.016498,682.5
ppo_nocost_lr0.001_cr0.3,nocost,0.0,0.001,0.3,-0.013219,663.9
ppo_cost_lr0.0001_cr0.1,cost,0.005,0.0001,0.1,-0.060865,661.1
ppo_cost_lr0.0001_cr0.2,cost,0.005,0.0001,0.2,-0.064766,660.5
ppo_cost_lr0.0001_cr0.3,cost,0.005,0.0001,0.3,-0.064906,661.3
ppo_cost_lr0.0003_cr0.1,cost,0.005,0.0003,0.1,-0.059873,646.5
ppo_cost_lr0.0003_cr0.2,cost,0.005,0.0003,0.2,-0.058592,641.4
ppo_cost_lr0.0003_cr0.3,cost,0.005,0.0003,0.3,-0.05974,644.3
ppo_cost_lr0.001_cr0.1,cost,0.005,0.001,0.1,-0.060049,653.2
ppo_cost_lr0.001_cr0.2,cost,0.005,0.001,0.2,-0.059403,640.7
ppo_cost_lr0.001_cr0.3,cost,0.005,0.001,0.3,-0.055076,640.9
